Full Name,Description,Job,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Reason,Known for,Notable Work,Image,Website,Children,Native Name,Signature,Title,Honours,Awards,Education,Birth Name,Nationality,Weight,Height,Eye Color,Hair Color
Aaditi Pohankar,,,,,,,{{Birth-date and age|31 December 1994}},,,,,,,Aditi Pohankar graces the launch of Doycare 5.jpg,,,,,,,,,,,,,,
Aahana Kumra,,{{hlist|[[Actress]]|[[Model (profession)|model]]}},,,,,,,"[[Lucknow]], [[Uttar Pradesh]], [[India]]",,,,,Aahana Kumra on Day 2 of Lakme Fashion Week 2017.jpg,{{url|aahanakumra.com}},,,,,,,,,,,,,
Aakanksha Singh,,Actress,,,,{{Marriage|Kunal Sain|2014}},,,"[[Jaipur]], [[Rajasthan]], [[India]]",,,,,Aakanksha Singh spotted outside the set of The Kapil Sharma Show at Film City (cropped).jpg,,,,,,,,,,,,,,
Aamna Sharif,,[[Actress]],,,,{{marriage|Amit Kapoor|2013}},{{birth date and age|df|=|yes|1982|07|16}},,"[[Mumbai]], [[Maharashtra]], India",,,''[[Kahiin To Hoga]]''<br>''[[Kasautii Zindagii Kay (2018 TV series)]]'',,Aamna Sharif in 2018.jpg,,1 (Son),,,,,,,,Indian,,,,
Aanchal Munjal,,Actress,,,,,{{birth date and age|df|=|yes|1994|04|13}},,"[[Hisar (city)|Hisar]], [[Haryana]], India.",,,,,,,,,,,,,,,Indian,,,,
Aarathi,,"[[Actress]], [[film director]]",,,,"[[Puttanna Kanagal]], Chandrasekhar Desaigoudar",{{Birth year and age|1954}},,"Aregallu, (near [[Kushalanagar]]), [[Arakalagudu, Karnataka]], India",,,,,,,,,,,,,,,,,,,
Aarthi Agarwal,,"Actress, model",,,,{{marriage|Tasval Kumar|2007|2009|reason|=|div.}},{{Birth date|mf|=|y|1984|03|05}},{{Death date and age|2015|06|06|1984|03|05|mf|=|y}},"[[New Jersey]], U.S","[[Atlantic City, New Jersey]], U.S",,,,Aarthi Agarwal.jpg,,,,,,,,,,,,,,
Aarti Chabria,,{{hlist|[[Actor|Actress]]|[[Model (person)|model]]}},,,,Visharad Beedassy (m. 2019),{{birth date and age|df|=|yes|1982|11|21}},,"[[Bombay]], [[Maharashtra]], India",,,,,Aarti Chabria graces Stardust Awards 2016 (01) (cropped).jpg,,,,,,,,,,,,,,
Aarti Shrivastava,,Director,,,,,,,"[[Nagpur]],<br /> [[Maharashtra]] [[India]]",,,,Foresting Life,Aarti shrivastava.jpg,,,,,,,,,,,,,,
Aashka Goradia,,{{hlist|[[Actress]]|[[Model (person)|model]]}},,,,{{marriage|Brent Goble|2017}},,,,,,"{{Ubl
  | ''[[Bigg Boss (Hindi season 6)|Bigg Boss 6]]''
  | ''[[Naagin (2015 TV series)|Naagin 2]]''
  | ''[[Daayan (TV series)|Daayan]]''}}",,Aashka Goradia in 2013.jpg,,,,,,,,,,[[India]]n,,,,
Abhirami,,{{hlist|Film actress|TV host}},,,,{{marriage|Rahul Pavanan|2009}},{{birth date and age|df|=|y|1983|07|26}},,"[[Thiruvananthapuram]], [[Kerala]], [[India]]",,,,,,,,,,,,,,,,,,,
Adah Sharma,,"*[[Actress]]
*[[Model (person)|Model]]
*[[Athlete]]",,,,,{{birth date and age|1992|05|11}},,"[[palakkad]], [[Kerala]], India",,,,,Adah-Sharma-grace-Filmfare-Glamour-and-Style-Awards-2019-23-1 (cropped).jpg,,,,,,,,,,[[Indian people|Indian]],,,,
